epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4097.26,1.17809,0.77305,1.10826,0.6178,0.50857,0.57458,0.3255,1.64956,1.38612,1.34368,0.000396265,0.000396265,0.000396265
43,4194.39,1.17651,0.7654,1.10745,0.5605,0.56372,0.58296,0.3307,1.64292,1.40814,1.33334,0.000389661,0.000389661,0.000389661
44,4291.13,1.16809,0.76151,1.10608,0.57861,0.57435,0.59328,0.33519,1.66004,1.42112,1.33759,0.000383058,0.000383058,0.000383058
45,4389.62,1.16758,0.75847,1.10235,0.59956,0.53463,0.58624,0.33575,1.63766,1.43797,1.32499,0.000376455,0.000376455,0.000376455
46,4486.44,1.17052,0.76061,1.10149,0.59964,0.58111,0.60586,0.34076,1.65069,1.36274,1.33566,0.000369851,0.000369851,0.000369851
47,4583.21,1.16314,0.75218,1.1004,0.58337,0.56058,0.59023,0.33723,1.65912,1.39825,1.34406,0.000363248,0.000363248,0.000363248
48,4681.98,1.15946,0.74518,1.09702,0.57288,0.57949,0.58819,0.32737,1.65306,1.40904,1.34162,0.000356645,0.000356645,0.000356645
49,4778.28,1.15631,0.74172,1.10081,0.60015,0.60179,0.60336,0.3351,1.63051,1.3653,1.33224,0.000350042,0.000350042,0.000350042
50,4877.11,1.15445,0.73859,1.09549,0.6095,0.57657,0.60985,0.34054,1.62809,1.37605,1.31473,0.000343438,0.000343438,0.000343438
51,4973.16,1.14111,0.73673,1.09169,0.63598,0.53018,0.58845,0.33155,1.65341,1.44312,1.33424,0.000336835,0.000336835,0.000336835
52,5070.95,1.15269,0.73123,1.09543,0.58878,0.56234,0.58705,0.32609,1.63118,1.441,1.31883,0.000330232,0.000330232,0.000330232
53,5172.54,1.14064,0.72324,1.0888,0.60515,0.56754,0.60263,0.33247,1.64229,1.41245,1.33803,0.000323628,0.000323628,0.000323628
54,5283.1,1.14156,0.7299,1.08897,0.64568,0.55542,0.60233,0.33839,1.62716,1.3896,1.32045,0.000317025,0.000317025,0.000317025
55,5381.98,1.13506,0.7278,1.08483,0.61026,0.57664,0.59707,0.33745,1.65667,1.43154,1.34481,0.000310422,0.000310422,0.000310422
56,5480.67,1.13422,0.72064,1.08484,0.61319,0.57433,0.58986,0.32968,1.65241,1.41398,1.34306,0.000303818,0.000303818,0.000303818
57,5582.76,1.12421,0.71128,1.0813,0.55835,0.60007,0.59979,0.3357,1.66057,1.46474,1.34228,0.000297215,0.000297215,0.000297215
58,5691.73,1.11923,0.70475,1.07927,0.64891,0.52805,0.60814,0.34441,1.63339,1.4014,1.33126,0.000290612,0.000290612,0.000290612
59,5795.43,1.11767,0.70369,1.08099,0.68763,0.53685,0.61396,0.34575,1.62505,1.39011,1.32574,0.000284009,0.000284009,0.000284009
60,5900.02,1.11259,0.69778,1.07632,0.60832,0.58205,0.60961,0.34252,1.63553,1.44003,1.3326,0.000277405,0.000277405,0.000277405
61,6000.58,1.11328,0.69834,1.07546,0.66592,0.54366,0.60284,0.3394,1.64235,1.4717,1.33151,0.000270802,0.000270802,0.000270802
62,6104.11,1.10501,0.68971,1.07052,0.61681,0.56698,0.60159,0.33216,1.64368,1.47437,1.33449,0.000264199,0.000264199,0.000264199
63,6206.76,1.10003,0.69004,1.068,0.65585,0.53906,0.60467,0.34394,1.66304,1.46777,1.34366,0.000257595,0.000257595,0.000257595
64,6304.38,1.09387,0.68342,1.06774,0.64843,0.56143,0.61049,0.33925,1.64121,1.45782,1.33485,0.000250992,0.000250992,0.000250992
65,6403.59,1.09494,0.68509,1.0689,0.61755,0.57519,0.60962,0.34034,1.63878,1.46293,1.33298,0.000244389,0.000244389,0.000244389
66,6506.75,1.09539,0.68121,1.06727,0.58193,0.5778,0.59938,0.3415,1.64308,1.46361,1.33587,0.000237785,0.000237785,0.000237785
67,6616.28,1.08715,0.67575,1.06346,0.60538,0.55563,0.60049,0.34053,1.65078,1.46085,1.33817,0.000231182,0.000231182,0.000231182
68,6714.06,1.08443,0.67373,1.06596,0.61294,0.57771,0.61205,0.34476,1.65183,1.49283,1.34198,0.000224579,0.000224579,0.000224579
69,6811.25,1.0781,0.66981,1.06021,0.63584,0.55255,0.61581,0.34696,1.65192,1.49235,1.34889,0.000217976,0.000217976,0.000217976
70,6908.47,1.07362,0.66469,1.06141,0.66128,0.51372,0.60305,0.33907,1.64717,1.4794,1.34666,0.000211372,0.000211372,0.000211372
71,7006.75,1.07612,0.66574,1.05687,0.67784,0.53423,0.60287,0.34216,1.64379,1.4469,1.35009,0.000204769,0.000204769,0.000204769
72,7111.23,1.06573,0.65944,1.05623,0.68356,0.51232,0.59308,0.33785,1.65586,1.49634,1.35277,0.000198166,0.000198166,0.000198166
73,7227.56,1.07005,0.65649,1.05503,0.67699,0.50772,0.5941,0.34232,1.64451,1.48428,1.34482,0.000191562,0.000191562,0.000191562
74,7323.61,1.06574,0.6583,1.05583,0.66976,0.51474,0.5883,0.33814,1.65028,1.5007,1.35174,0.000184959,0.000184959,0.000184959
75,7419.99,1.06309,0.65118,1.05257,0.67274,0.5525,0.6047,0.34752,1.64776,1.46913,1.34839,0.000178356,0.000178356,0.000178356
76,7517.15,1.05325,0.64509,1.0497,0.62635,0.55595,0.59844,0.33996,1.6479,1.47526,1.34894,0.000171752,0.000171752,0.000171752
77,7616.13,1.05115,0.64611,1.05054,0.65368,0.52159,0.6036,0.34402,1.65595,1.44727,1.35426,0.000165149,0.000165149,0.000165149
78,7712.17,1.04706,0.64259,1.04811,0.6504,0.52193,0.59902,0.34323,1.66546,1.46841,1.36105,0.000158546,0.000158546,0.000158546
79,7808.45,1.04826,0.64296,1.05101,0.64575,0.53552,0.60223,0.34256,1.66046,1.46913,1.3522,0.000151943,0.000151943,0.000151943
80,7905.41,1.04672,0.63549,1.0444,0.64141,0.54328,0.59343,0.34003,1.6584,1.49306,1.35117,0.000145339,0.000145339,0.000145339
81,8001.54,1.03833,0.62995,1.04119,0.66059,0.53299,0.59535,0.34103,1.65656,1.50472,1.35134,0.000138736,0.000138736,0.000138736
82,8098.2,1.03666,0.63384,1.04331,0.65264,0.53526,0.59093,0.33825,1.65981,1.48874,1.34756,0.000132133,0.000132133,0.000132133
83,8194.53,1.03414,0.62951,1.0413,0.68264,0.51532,0.58901,0.33684,1.64766,1.47232,1.34169,0.000125529,0.000125529,0.000125529
84,8292.68,1.03044,0.62587,1.04137,0.67664,0.51751,0.59264,0.33993,1.65096,1.46996,1.34388,0.000118926,0.000118926,0.000118926
85,8390.18,1.02993,0.62297,1.03872,0.6239,0.55132,0.59501,0.34444,1.6519,1.48648,1.34498,0.000112323,0.000112323,0.000112323
86,8484.22,1.02293,0.6241,1.03598,0.62879,0.56869,0.60048,0.34499,1.65069,1.48784,1.34608,0.00010572,0.00010572,0.00010572
87,8577.5,1.02417,0.62112,1.03641,0.61579,0.56767,0.59556,0.34038,1.6521,1.5231,1.34982,9.91162e-05,9.91162e-05,9.91162e-05
88,8673.27,1.02137,0.61761,1.03504,0.62909,0.54949,0.59675,0.34284,1.65584,1.5259,1.35118,9.25129e-05,9.25129e-05,9.25129e-05
89,8767.5,1.01653,0.61759,1.03593,0.63438,0.54312,0.59666,0.34047,1.66203,1.54102,1.35295,8.59096e-05,8.59096e-05,8.59096e-05
90,8862.7,1.01214,0.61362,1.03419,0.64036,0.54133,0.59448,0.34026,1.66592,1.54821,1.3559,7.93063e-05,7.93063e-05,7.93063e-05
91,8975.35,0.95975,0.49908,1.01292,0.64364,0.53807,0.59108,0.33612,1.66537,1.54593,1.35877,7.2703e-05,7.2703e-05,7.2703e-05
92,9070.21,0.93961,0.48661,1.0075,0.63909,0.54265,0.59055,0.33505,1.66491,1.54356,1.35991,6.60997e-05,6.60997e-05,6.60997e-05
93,9165.36,0.9368,0.48224,1.00205,0.63133,0.53889,0.59088,0.33375,1.66424,1.54046,1.36212,5.94964e-05,5.94964e-05,5.94964e-05
94,9260.44,0.92799,0.47782,1.00025,0.62253,0.53798,0.5927,0.33492,1.6669,1.54504,1.36567,5.28931e-05,5.28931e-05,5.28931e-05
95,9356.33,0.92461,0.47484,0.99964,0.64983,0.51892,0.59011,0.33423,1.66714,1.54705,1.36581,4.62898e-05,4.62898e-05,4.62898e-05
96,9451.01,0.91469,0.46977,0.99625,0.63955,0.52587,0.59171,0.33614,1.6686,1.56327,1.36527,3.96865e-05,3.96865e-05,3.96865e-05
97,9545.97,0.91578,0.47069,0.99433,0.64582,0.53214,0.59061,0.33483,1.66808,1.57095,1.36474,3.30832e-05,3.30832e-05,3.30832e-05
98,9644.35,0.90967,0.46561,0.99272,0.64106,0.52489,0.58958,0.33515,1.66953,1.57005,1.36628,2.64799e-05,2.64799e-05,2.64799e-05
99,9738.58,0.90803,0.46322,0.99279,0.63956,0.52907,0.58739,0.3341,1.66828,1.56652,1.36627,1.98766e-05,1.98766e-05,1.98766e-05
100,9831.07,0.90326,0.46331,0.99054,0.63844,0.52887,0.58935,0.33623,1.66584,1.56441,1.36476,1.32733e-05,1.32733e-05,1.32733e-05
